No,Part Number and Description,Package,Value,Qty,Reference,Note
1,SY8008BAAC (voltage regulator),SOT23-5,,3,,http://www.aliexpress.com/item/20Pcs-SY8008-SY8008B-SY8008BAAC-original/32479980632.html
2,1N5819 Schottky diode,SMA Standard,,1,,http://www.aliexpress.com/item/Free-shipping-100pcs-sma-1n5819-smd-1A-40V-do-214ac-Schottky-diode-SOt-23-diode-ss14/32337470783.html
3,Connector 2x10 Female,Socket Strip Straight 2x10,,2,"P1,P2",http://www.aliexpress.com/item/10PCS-2X10-Pin-20P-2-54mm-Double-Row-Female-Straight-Header-Pitch-Socket-Strip/32216772852.html
4,Micro USB Type B Connector,,,1,,http://www.aliexpress.com/item/New-high-quality-10pcs-LOT-Micro-USB-5P-5-pin-DIP-Micro-USB-Jack-5Pins-Micro/32423516433.html
5,USB Type A Female Connector,,,1,,http://www.aliexpress.com/item/50pcs-New-USB-Short-Female-Type-A-Female-Socket-Connector-PCB-Socket/32259041113.html
6,Micro SD Card Slot,,,1,,http://www.aliexpress.com/item/50pcs-lot-9pin-Micro-SD-card-slot-connectors-size-14-15mm-TF-card-deck-fit-for/32244521710.html
7,Pin Header Male 1x3,Pin Header Angled 1x3,,,,"http://www.aliexpress.com/item/Free-shiiping-Hot-Sale10pcs-40-Pin-1x40-Single-Row-Male-2-54mm-Breakable-Pin-Header-Right/32327255068.html?spm=2114.01020208.3.10.YAoo7J&ws_ab_test=searchweb201556_2_79_78_77_80_61,searchweb201644_0,searchweb201560_6"
8,USB WIFI Module RTL8188EUS,,,1,,http://www.aliexpress.com/item/Wlan-11n-USB-module-Wifi-module-RL-UM12BS-8188EUS-RTL8188EUS-module-UM12BS-RTL8188-MODULE-NEW-ORIGINAL/32240202795.html
9,Rainsun PF1004 (WIFI Ceramic Antenna),,,1,,http://www.aliexpress.com/item/10PCS-LOT-PF1004-laminated-2-4G-High-Gain-WIFI-built-in-Bluetooth-antenna-3DBi-ceramic-patch/32469299853.html
10,Resistors,R0603,10K,7,,
11,Capacitors,C1206,10uF,5,,
12,Capacitors,C0603,100nF,18,,
13,Tantalum Capacitors A-Style,SMD3216,10uF,2,,
